,Date,Model,Count,Normalized Count
0,31-Aug-16,M45,5,-0.2910219364571754
1,31-Aug-16,M121,3,-0.2973698826908091
2,31-Aug-16,M122,4,-0.2941959095739923
3,31-Aug-16,M91,10,-0.27515207087309124
4,31-Aug-16,M66,57,-0.1259753343826998
5,31-Aug-16,M100,59,-0.11962738814906612
6,31-Aug-16,M5,17,-0.25293425905537337
7,31-Aug-16,M14,653,1.765712643240136
8,31-Aug-16,M62,8,-0.2815000171067249
9,31-Aug-16,M15,25,-0.22754247412083864
10,31-Aug-16,M61,3,-0.2973698826908091
11,31-Aug-16,M82,42,-0.17358493113495238
12,31-Aug-16,M108,4,-0.2941959095739923
13,31-Aug-16,M55,1,-0.30371782892444277
14,31-Aug-16,M43,1,-0.30371782892444277
15,31-Aug-16,M31,23,-0.23389042035447233
16,31-Aug-16,M90,31,-0.2084986354199376
17,31-Aug-16,M96,19,-0.24658631282173968
18,31-Aug-16,M69,1,-0.30371782892444277
19,31-Aug-16,M76,4,-0.2941959095739923
20,31-Aug-16,M56,2,-0.30054385580762594
21,31-Aug-16,M92,2,-0.30054385580762594
22,31-Aug-16,M72,15,-0.25928220528900703
23,31-Aug-16,M94,1,-0.30371782892444277
24,31-Aug-16,M8,189,0.2929891170371229
25,31-Aug-16,M97,3,-0.2973698826908091
26,31-Aug-16,M71,5,-0.2910219364571754
27,31-Aug-16,M57,2,-0.30054385580762594
28,31-Aug-16,M107,8,-0.2815000171067249
29,31-Aug-16,M99,2,-0.30054385580762594
30,31-Aug-16,M18,2400,7.310643678319153
31,31-Aug-16,M30,5,-0.2910219364571754
32,31-Aug-16,M36,1,-0.30371782892444277
33,31-Aug-16,M86,2,-0.30054385580762594
34,31-Aug-16,M13,12,-0.2688041246394575
35,31-Aug-16,M73,40,-0.17993287736858607
36,31-Aug-16,M81,1,-0.30371782892444277
37,31-Aug-16,M41,92,-0.014886275294110449
38,31-Aug-16,M79,69,-0.08788765698089773
39,31-Aug-16,M70,1,-0.30371782892444277
40,31-Aug-16,M110,1,-0.30371782892444277
41,31-Aug-16,M95,3,-0.2973698826908091
42,31-Aug-16,M51,4,-0.2941959095739923
43,31-Aug-16,M117,7,-0.28467399022354173
44,31-Aug-16,M22,360,0.8357385200128024
45,31-Aug-16,M10,54,-0.13549725373315033
46,31-Aug-16,M65,20,-0.24341233970492282
47,31-Aug-16,M115,4,-0.2941959095739923
48,31-Aug-16,M75,2,-0.30054385580762594
49,31-Aug-16,M124,1,-0.30371782892444277
50,31-Aug-16,M2,4,-0.2941959095739923
51,31-Aug-16,M42,2,-0.30054385580762594
52,31-Aug-16,M112,17,-0.25293425905537337
53,31-Aug-16,M27,1,-0.30371782892444277
54,31-Aug-16,M53,7,-0.28467399022354173
55,31-Aug-16,M60,1,-0.30371782892444277
56,31-Aug-16,M120,4,-0.2941959095739923
57,31-Aug-16,M23,858,2.4163771321875878
58,31-Aug-16,M4,225,0.4072521492425291
59,31-Aug-16,M39,13,-0.2656301515226407
60,31-Aug-16,M48,3,-0.2973698826908091
61,31-Aug-16,M32,35,-0.19580274295267025
62,31-Aug-16,M87,3,-0.2973698826908091
63,31-Aug-16,M6,74,-0.07201779139681354
64,31-Aug-16,M64,21,-0.240238366588106
65,31-Aug-16,M68,1,-0.30371782892444277
66,31-Aug-16,M17,35,-0.19580274295267025
67,31-Aug-16,M7,12,-0.2688041246394575
68,31-Aug-16,M24,770,2.1370674979077062
69,31-Aug-16,M44,2,-0.30054385580762594
70,31-Aug-16,M16,168,0.2263356815839693
71,31-Aug-16,M77,75,-0.06884381827999671
72,31-Aug-16,M78,122,0.0803329182103947
73,31-Aug-16,M28,50,-0.14819314620041768
74,31-Aug-16,M12,4,-0.2941959095739923
75,31-Aug-16,M1,1,-0.30371782892444277
76,31-Aug-16,M84,361,0.8389124931296192
77,31-Aug-16,M11,106,0.029549348341325294
78,31-Aug-16,M25,720,1.9783688420668641
79,31-Aug-16,M20,360,0.8357385200128024
80,31-Aug-16,M105,1,-0.30371782892444277
81,31-Aug-16,M88,1,-0.30371782892444277
82,31-Aug-16,M109,10,-0.27515207087309124
83,31-Aug-16,M21,44,-0.1672369849013187
84,31-Aug-16,M19,342,0.7786070039100993
85,31-Aug-16,M40,40,-0.17993287736858607
86,31-Aug-16,M9,13,-0.2656301515226407
87,31-Aug-16,M116,2,-0.30054385580762594
88,31-Aug-16,M50,1,-0.30371782892444277
89,31-Aug-16,M67,71,-0.08153971074726406
90,31-Aug-16,M93,8,-0.2815000171067249
91,31-Aug-16,M89,5,-0.2910219364571754
92,31-Aug-16,M63,3,-0.2973698826908091
93,31-Aug-16,M123,24,-0.23071644723765547
94,30-Aug-16,M119,1,-0.30371782892444277
95,30-Aug-16,M41,75,-0.06884381827999671
96,30-Aug-16,M90,25,-0.22754247412083864
97,30-Aug-16,M60,1,-0.30371782892444277
98,30-Aug-16,M76,1,-0.30371782892444277
99,30-Aug-16,M31,25,-0.22754247412083864
100,30-Aug-16,M115,2,-0.30054385580762594
101,30-Aug-16,M36,1,-0.30371782892444277
102,30-Aug-16,M66,67,-0.09423560321453141
103,30-Aug-16,M42,15,-0.25928220528900703
104,30-Aug-16,M72,17,-0.25293425905537337
105,30-Aug-16,M69,2,-0.30054385580762594
106,30-Aug-16,M112,24,-0.23071644723765547
107,30-Aug-16,M8,190,0.2961630901539397
108,30-Aug-16,M28,35,-0.19580274295267025
109,30-Aug-16,M95,3,-0.2973698826908091
110,30-Aug-16,M49,1,-0.30371782892444277
111,30-Aug-16,M18,2600,7.945438301682521
112,30-Aug-16,M27,1,-0.30371782892444277
113,30-Aug-16,M9,11,-0.27197809775627435
114,30-Aug-16,M52,2,-0.30054385580762594
115,30-Aug-16,M32,31,-0.2084986354199376
116,30-Aug-16,M2,4,-0.2941959095739923
117,30-Aug-16,M20,390,0.9309577135173075
118,30-Aug-16,M91,6,-0.28784796334035856
119,30-Aug-16,M67,67,-0.09423560321453141
120,30-Aug-16,M120,5,-0.2910219364571754
